Gamertag`Characters`blurb
Josuke (丈助)`samus`One of the few that can go toe-to-toe with Wario on his home turf of Japan.
Gerson`pikachu;captain falcon;kirby`Top player from Peru, one of the only who can claim to have 4-stocked Isai in Pikachu dittos. He once played a match against SuPeRbOoMfAn that lasted 53 minutes.
Marka`pikachu`A retired top Pikachu player from Peru.
k y s k`kirby;captain falcon`One of the top players from Japan.
