Gamertag`Characters`blurb
PPMD`falco;marth`Kreygasm
Hax$`fox;captain falcon`Top player who gained infamy for coining the 20XX meme` we hopefully wait for his return.
Captain Jack`sheik`Old school hero who plans to make his return to competitive smash.
JimJamFlimFlam`ness`Only the greatest player of all time
Borp`sheik`Infamous for his lack of tech skill--he still manages to win every so often.
Green Ranger`donkey kong`Often times referred to as the strongest solo Donkey Kong main.
Bizarro Flame`ganondorf`One of the most stylish Ganondorf mains, known for his money match against Eikelmann at Apex 2015, he also took a game off of Armada's fox.
Toph`fox`Commentator legend and co-hsot of the Scar and Toph Show.
Scar`captain falcon;marth`Infamous 6th place finisher at Genesis.
